Nome,País,Endereço,Localização,Distância,Categorias
Hotel Avenida Fátima,Portugal,"Hotel Avenida Fátima, Avenida Dom José Alves Correia da Silva 116, 2495-402 Fátima, Portugal","39.627331, -8.671882148670758",24.942310887198705,"accommodation, accommodation.hotel, building, building.accommodation"
Casa do Outeiro,Portugal,"Casa do Outeiro, Largo Cavalho de Outeiro 4, 2440-128 Batalha, Portugal","39.656793500000006, -8.82339934040591",25.43007828898888,"accommodation, accommodation.hotel, building, building.accommodation, building.residential, internet_access, internet_access.free"
SANA Silver Coast,Portugal,"SANA Silver Coast, Rua Doutor Manuel Figueira Freire da Câmara, 2500-184 Caldas da Rainha, Portugal","39.4013175, -9.136372",28.50423471155101,"accommodation, accommodation.hotel"
Mood Lodging,Portugal,"Mood Lodging, Rua da Calçada 15, 2510-082 Óbidos, Portugal","39.360308849999996, -9.155093658261066",30.904760447517013,"accommodation, accommodation.apartment, building, building.accommodation, building.residential, internet_access, internet_access.free"
The Literary Man,Portugal,"The Literary Man, Rua dos Arrifes, 2510-082 Óbidos, Portugal","39.3606018, -9.15608813086638",30.97960131433886,"accommodation, accommodation.hotel, building, building.accommodation, building.catering, catering, catering.restaurant, catering.restaurant.regional, internet_access, internet_access.free"
Hotel Eurosol Jardim,Portugal,"Hotel Eurosol Jardim, Rua do Município, 2010-191 Leiria, Portugal","39.739315500000004, -8.809794883129669",34.5656453932725,"accommodation, accommodation.hotel, building, building.accommodation, building.residential"
Hotel São Luis,Portugal,"Hotel São Luis, Rua Beatriz Machado 11, 2410-089 Leiria, Portugal","39.7414289, -8.804474933904224",34.799845233316624,"accommodation, accommodation.hotel, building, building.accommodation"
INATEL Foz do Arelho,Portugal,"INATEL Foz do Arelho, Avenida do Mar 17, 2500-487 Caldas da Rainha, Portugal","39.4307605, -9.22239455450677",35.72705702813089,"accommodation, accommodation.hotel"
NERLEI - Associação Empresarial da Região de Leiria,Portugal,"NERLEI - Associação Empresarial da Região de Leiria, Rua do Estádio, 2400-186 Leiria, Portugal","39.750355049999996, -8.812630688624427",35.795928183730716,"activity, activity.community_center, building, building.public_and_civil"
Hotel TRYP Leiria,Portugal,"Hotel TRYP Leiria, Rua Arrabalde da Ponte, 2415-781 Leiria, Portugal","39.7536729, -8.813002318745797",36.16529771598134,"accommodation, accommodation.hotel, building, building.accommodation, internet_access, internet_access.free"
Quinta da Azenha,Portugal,"Quinta da Azenha, Rua da Azenha 999, 2510-508 Óbidos, Portugal","39.33225945, -9.226210504600843",37.63202431830854,"accommodation, accommodation.hotel, internet_access, internet_access.for_customers"
Baleal Zensations,Portugal,"Baleal Zensations, Rua Camilo Castelo Branco 38 B, 2520-119 Peniche, Portugal","39.3643096, -9.3362233",46.07990504436262,"accommodation, accommodation.guest_house, internet_access"
Termas de Monte Real,Portugal,"Termas de Monte Real, Rua da Base Aérea, 2425-044 Leiria, Portugal","39.85388785, -8.86870778940661",47.60392587801348,"accommodation, accommodation.hotel, leisure, leisure.spa"
Casal Dos Patos,Portugal,"Casal Dos Patos, Alameda Ver o Mar 1, 2530-254 Lourinhã e Atalaia, Portugal","39.2677166, -9.335227582564272",48.857400662595694,"accommodation, accommodation.guest_house, building, building.accommodation, internet_access, internet_access.free"
Saudade Peniche Apartment,Portugal,"Saudade Peniche Apartment, Rua Garrett 1, 2520-333 Peniche, Portugal","39.3572199, -9.3817152",50.06663527946774,"accommodation, accommodation.apartment, internet_access, internet_access.free"
Friendly Peniche Apartment,Portugal,"Friendly Peniche Apartment, Rua Nossa Senhora da Conceição 27, 2520-288 Peniche, Portugal","39.3561837, -9.3830694",50.20022491520895,"accommodation, accommodation.apartment, internet_access, internet_access.free"
Pedrogão Guesthouse,Portugal,"Pedrogão Guesthouse, Rua José Gaspar 46, 2425-458 Leiria, Portugal","39.91684575, -8.9523516",55.722486934554524,"accommodation, accommodation.hotel, building, building.accommodation, internet_access, internet_access.free"
Lago Azul Eco Hotel,Portugal,"Lago Azul Eco Hotel, EN 348, 2240 Ferreira do Zêzere, Portugal","39.67380285, -8.231540217379244",56.3350389667136,"accommodation, accommodation.hotel, building, building.accommodation"
Albergaria Pinheiros,Portugal,"Albergaria Pinheiros, Rua Doutor Acúrcio Lopes 1, 3250-102 Alvaiázere, Portugal","39.8253122, -8.3813909",57.20371464810636,"accommodation, accommodation.apartment"
Hotel Al Foz,Portugal,"Hotel Al Foz, Avenida Dom Manuel I, 2890-014 Alcochete, Portugal","38.750127899999995, -8.96762630190931",76.70041689817549,"accommodation, accommodation.hotel, building, building.accommodation, internet_access"
